Time (ns),Current (nA),Voltage (mV),Energy (uJ)
"191678000","0","3283","24.6"
"192085000","0","3283","24.9"
"192353000","0","3283","24.9"
"192563000","0","3283","24.9"
"192773000","0","3283","24.9"
"192983000","0","3283","24.9"
"193390000","0","3284","24.9"
"193658000","0","3283","24.9"
"193868000","0","3283","24.9"
"194078000","0","3283","25.2"
"194288000","0","3283","25.2"
"194695000","0","3283","25.2"
"194963000","0","3283","25.2"
"195173000","0","3283","25.2"
"195383000","0","3283","25.2"
"195593000","0","3284","25.2"
"196000000","0","3283","25.2"
"196267000","0","3283","25.2"
"196476000","0","3283","25.4"
"196686000","0","3283","25.4"
"196897000","0","3283","25.4"
"197310000","0","3283","25.4"
"197578000","0","3283","25.4"
"197788000","0","3283","25.4"
"197999000","0","3283","25.4"
"198208000","0","3283","25.4"
"198617000","0","3283","25.7"
"198885000","0","3283","25.7"
"199094000","0","3283","25.7"
"199305000","0","3283","25.7"
"199514000","0","3283","25.7"
"199922000","0","3283","25.7"
"200189000","0","3283","25.7"
"200399000","0","3283","25.7"
"200609000","0","3283","25.7"
"200819000","0","3283","25.7"
"201226000","0","3283","26.0"
"201494000","0","3283","26.0"
"201705000","0","3283","26.0"
"201914000","0","3283","26.0"
"202124000","0","3283","26.0"
"202531000","0","3283","26.0"
"202799000","0","3283","26.0"
"203008000","0","3283","26.0"
"203218000","0","3283","26.3"
"203428000","0","3283","26.3"
"203835000","0","3283","26.3"
"204103000","0","3283","26.3"
"204313000","0","3283","26.3"
"204523000","0","3283","26.3"
"204733000","0","3283","26.3"
"205140000","0","3283","26.3"
"205408000","0","3283","26.6"
"205618000","0","3283","26.6"
"205827000","0","3283","26.6"
"206037000","0","3283","26.6"
"206444000","0","3283","26.6"
"206711000","0","3283","26.6"
"206921000","0","3283","26.6"
"207136000","0","3283","26.6"
"207347000","0","3283","26.6"
"207754000","0","3283","26.9"
"208022000","0","3283","26.9"
"208232000","0","3283","26.9"
"208442000","0","3283","26.9"
"208652000","0","3283","26.9"
"209059000","0","3283","26.9"
