Time (ns),Current (nA),Voltage (mV),Energy (uJ)
"176310000","188800","3283","110.9"
"176577000","188800","3283","110.9"
"176787000","188800","3283","111.3"
"176998000","188800","3283","111.3"
"177207000","188800","3283","111.3"
"177616000","188800","3283","111.7"
"177883000","188800","3283","112.1"
"178093000","188800","3283","112.1"
"178303000","188800","3283","112.1"
"178513000","188800","3283","112.1"
"178979000","188800","3283","112.4"
"179189000","188800","3283","112.8"
"179399000","188800","3283","112.8"
"179609000","188800","3283","112.8"
"179825000","188800","3283","113.2"
"180232000","188800","3283","113.2"
"180499000","188800","3283","113.5"
"180709000","188800","3283","113.5"
"180919000","188800","3283","113.5"
"181130000","188800","3283","113.9"
"181537000","188800","3283","114.3"
"181806000","188800","3283","114.3"
"182016000","188800","3283","114.3"
"182226000","188800","3283","114.7"
"182435000","188800","3283","114.7"
"182842000","188800","3283","115.0"
"183111000","188800","3283","115.0"
"183321000","188800","3283","115.0"
"183530000","188800","3283","115.4"
"183739000","188800","3283","115.4"
"184147000","188800","3283","115.8"
"184414000","188800","3283","115.8"
"184624000","188800","3283","116.1"
"184834000","188800","3283","116.1"
"185045000","188800","3283","116.1"
"185452000","188800","3283","116.5"
"185719000","188800","3283","116.5"
"185930000","188800","3284","116.9"
"186140000","188800","3283","116.9"
"186350000","188800","3284","117.3"
"186758000","188800","3283","117.3"
"187027000","188800","3283","117.6"
"187236000","188800","3283","117.6"
"187446000","188800","3284","117.6"
"187656000","188800","3284","118.0"
"188063000","188800","3284","118.4"
"188330000","188800","3284","118.4"
"188540000","188800","3284","118.4"
"188750000","188800","3284","118.8"
"188961000","188800","3284","118.8"
"189369000","188800","3284","119.1"
"189637000","188800","3284","119.1"
"189853000","188800","3284","119.5"
"190063000","188800","3284","119.5"
"190273000","188800","3284","119.5"
"190681000","188800","3284","119.9"
"190948000","188800","3284","119.9"
"191158000","188800","3284","120.2"
"191368000","188800","3284","120.2"
"191578000","188800","3284","120.6"
"191986000","188800","3284","120.6"
"192254000","188800","3284","121.0"
"192464000","188800","3284","121.0"
"192674000","188800","3284","121.0"
"192883000","188800","3284","121.4"
"193290000","188800","3284","121.4"
"193558000","188800","3284","121.7"
"193768000","188800","3284","121.7"
"193977000","188800","3284","122.1"
"194187000","188800","3284","122.1"
"194594000","188800","3284","122.5"
"194863000","188800","3284","122.5"
"195073000","188800","3284","122.5"
"195283000","188800","3284","122.9"
"195493000","188800","3284","122.9"
"195900000","188800","3283","123.2"
"196168000","188800","3283","123.2"
"196378000","188800","3284","123.2"
"196588000","188800","3284","123.6"
"196798000","188800","3284","123.6"
"197205000","188800","3284","124.0"
"197473000","188800","3284","124.0"
"197683000","188800","3284","124.3"
"197893000","188800","3283","124.3"
"198103000","188800","3283","124.3"
"198512000","188800","3283","124.7"
"198779000","188800","3283","124.7"
"198989000","188800","3283","125.1"
"199200000","188800","3283","125.1"
"199410000","188800","3283","125.1"
"199822000","188800","3283","125.4"
"200090000","188800","3283","125.8"
"200300000","188800","3283","125.8"
"200510000","188800","3283","125.8"
"200720000","188800","3283","126.2"
"201129000","188800","3283","126.2"
"201396000","188800","3283","126.6"
"201605000","188800","3283","126.6"
"201815000","188800","3283","126.6"
"202025000","188800","3283","126.9"
"202433000","188800","3283","126.9"
"202702000","188800","3283","127.3"
"202911000","188800","3283","127.3"
"203122000","188800","3283","127.7"
"203331000","188800","3283","127.7"
"203739000","188800","3283","128.1"
"204007000","188800","3283","128.1"
"204216000","188800","3283","128.1"
"204425000","188800","3283","128.4"
"204635000","188800","3283","128.4"
"205043000","188800","3283","128.8"
"205312000","188800","3283","128.8"
"205522000","188800","3283","129.2"
"205731000","188800","3283","129.2"
"205941000","188800","3283","129.2"
"206348000","188800","3283","129.5"
"206616000","188800","3283","129.9"
"206825000","188800","3283","129.9"
"207035000","188800","3283","129.9"
"207279000","188800","3283","130.3"
"207686000","188800","3283","130.3"
"207954000","188800","3283","130.7"
"208163000","188800","3283","130.7"
"208374000","188800","3283","131.0"
"208584000","188800","3283","131.0"
"208992000","188800","3283","131.4"
"209258000","188800","3283","131.4"
"209468000","188800","3283","131.4"
"209679000","188800","3283","131.8"
"209895000","188800","3283","131.8"
"210302000","188800","3283","132.2"
"210570000","188800","3283","132.2"
"210780000","188800","3283","132.5"
"210990000","188800","3283","132.5"
"211200000","188800","3283","132.5"
"211607000","188800","3283","132.9"
"211875000","188800","3283","133.3"
"212084000","188800","3283","133.3"
"212294000","188800","3283","133.3"
"212505000","188800","3283","133.7"
"212913000","188800","3283","133.7"
"213181000","188800","3283","134.0"
"213391000","188800","3283","134.0"
"213601000","188800","3283","134.0"
"213811000","188800","3283","134.4"
"214219000","188800","3283","134.4"
"214485000","188800","3283","134.8"
"214696000","188800","3283","134.8"
"214906000","188800","3283","135.1"
"215116000","188800","3283","135.1"
"215523000","188800","3283","135.5"
"215792000","188800","3283","135.5"
"216002000","188800","3283","135.5"
"216212000","188800","3283","135.9"
"216422000","188800","3283","135.9"
"216887000","188800","3283","136.3"
"217097000","188800","3282","136.3"
"217307000","188800","3283","136.6"
"217516000","188800","3283","136.6"
"217727000","188800","3283","136.6"
"218135000","188800","3283","137.0"
"218402000","188800","3283","137.0"
"218612000","188800","3283","137.4"
"218822000","188800","3283","137.4"
"219032000","188800","3283","137.4"
"219440000","188800","3283","137.7"
"219708000","188800","3282","137.7"
"219923000","188800","3282","138.1"
"220133000","188800","3282","138.1"
"220343000","188800","3282","138.5"
"220809000","188800","3283","138.5"
"221018000","188800","3283","138.9"
"221228000","188800","3283","138.9"
"221438000","188800","3282","138.9"
"221647000","188800","3282","139.2"
"222055000","188800","3282","139.2"
"222321000","188800","3282","139.6"
"222531000","188800","3282","139.6"
"222741000","188800","3282","139.6"
"222951000","188800","3282","140.0"
"223358000","188800","3282","140.0"
"223626000","188800","3283","140.3"
"223836000","188800","3282","140.3"
"224047000","189200","3283","140.7"
"224256000","189200","3283","140.7"
"224663000","189200","3283","141.1"
"224931000","189200","3283","141.1"
"225141000","189200","3283","141.5"
"225351000","189200","3283","141.5"
"225561000","189200","3283","141.5"
"225968000","189200","3283","141.8"
"226236000","189200","3283","141.8"
"226445000","189200","3283","142.2"
"226655000","189200","3283","142.2"
"226866000","189200","3283","142.2"
"227273000","189200","3283","142.6"
"227541000","189200","3283","143.0"
"227751000","189200","3283","143.0"
"227961000","189200","3283","143.0"
"228172000","189200","3283","143.3"
"228579000","189200","3283","143.3"
"228848000","189200","3283","143.7"
"229058000","189200","3283","143.7"
"229269000","189200","3283","144.1"
"229478000","189200","3283","144.1"
"229891000","189200","3283","144.4"
"230159000","189200","3283","144.4"
"230369000","189200","3283","144.8"
